Date	ADBE	CAT	DELL	INTC	MU	NVDA	PG	TEAM	WM
2023-07-06	0.07021670	0.05325244	0.29122595	0.07104607	0.50552323	0.64306647	-0.03077025	-0.31038429	-0.14133705
2023-07-07	0.06746165	0.05845494	0.29484155	0.05703014	0.42272261	0.59485955	-0.03313639	-0.27669454	-0.13938366
2023-07-10	0.10583953	0.03643143	0.30907904	0.04115310	0.44804804	0.59003089	-0.03361599	-0.26972020	-0.13836350
2023-07-11	0.12491687	0.03457493	0.31506254	0.04198983	0.45861727	0.60495679	-0.03169078	-0.27533644	-0.15267043
2023-07-12	0.13304594	0.03413082	0.33805426	0.03405670	0.46036488	0.60608574	-0.03411802	-0.26386986	-0.15194143
2023-07-13	0.12202571	0.04205859	0.33606623	0.03321308	0.47638966	0.62112825	-0.03395379	-0.25535343	-0.17136369
2023-07-14	0.11182036	0.02876268	0.29519673	0.03525437	0.47851977	0.60631692	-0.04216407	-0.22895601	-0.15718278
2023-07-17	0.10830018	0.02780620	0.31135166	0.02697863	0.47827267	0.61047009	-0.04069050	-0.22043020	-0.14652382
2023-07-18	0.10370174	0.01681493	0.33905305	0.01694723	0.49438243	0.63076100	-0.04549999	-0.26043600	-0.14204556
2023-07-19	0.10833262	0.01520400	0.33559355	0.02074760	0.49440168	0.62618141	-0.04459645	-0.26281203	-0.14595398
2023-07-20	0.11267279	0.01155122	0.32897022	-0.01077189	0.51490315	0.65354219	-0.04833222	-0.28969368	-0.13611037
2023-07-21	0.14559108	0.01277875	0.32624794	-0.00925174	0.55039423	0.64100721	-0.06659918	-0.25161078	-0.13481932
2023-07-24	0.14482845	0.01249121	0.32522865	-0.01517430	0.55209136	0.65030495	-0.06742832	-0.25090997	-0.13445727
2023-07-25	0.16291065	0.00284865	0.31995659	-0.02812378	0.52544421	0.62709105	-0.04525940	-0.17824146	-0.14141904
2023-07-26	0.15565312	-0.00496118	0.31394469	-0.03110464	0.54506959	0.65430638	-0.04504046	-0.18420796	-0.16148722
2023-07-27	0.15403647	-0.00107638	0.31399056	-0.02983301	0.55881663	0.65514852	-0.04569005	-0.18564073	-0.16211924
2023-07-28	0.14352628	0.00869142	0.33537583	-0.05663911	0.56845188	0.65906360	-0.04817456	-0.16857032	-0.16416124
2023-07-31	0.15968621	0.02507614	0.33204665	-0.10661408	0.57881503	0.67164830	-0.04706447	-0.16671020	-0.15495888
2023-08-01	0.16275522	0.10602770	0.33808802	-0.09395693	0.54818357	0.61858471	-0.03652701	-0.16266091	-0.15805031
2023-08-02	0.15418050	0.09861340	0.32866944	-0.10254000	0.50248885	0.58313257	-0.04124660	-0.19366662	-0.13131872
2023-08-03	0.14607603	0.12137889	0.34132454	-0.09860105	0.49754769	0.55675262	-0.03321186	-0.21171293	-0.13670042
2023-08-04	0.16466430	0.10302416	0.34354783	-0.05331400	0.51688137	0.55879656	-0.02948312	-0.05416595	-0.13211771
2023-08-07	0.14102439	0.11656230	0.34838859	-0.02656752	0.50595100	0.53556855	-0.02191860	-0.08792990	-0.12895752
2023-08-08	0.14445000	0.11539181	0.29617456	-0.04297532	0.50863839	0.54589222	-0.03203622	-0.10376098	-0.12154323
2023-08-09	0.11137145	0.09812226	0.31702367	-0.06382079	0.45861793	0.57032354	-0.02279968	-0.08290180	-0.14054314
2023-08-10	0.11201636	0.10038840	0.31475145	-0.06238062	0.44799727	0.57085138	-0.02346976	-0.07725919	-0.14459766
2023-08-11	0.11615513	0.09720546	0.29953456	-0.06562071	0.44969843	0.57457327	-0.02549200	-0.07882133	-0.14987662
2023-08-14	0.10484841	0.09048869	0.31166911	-0.05286370	0.45126191	0.52666721	-0.02647538	-0.02717943	-0.14527936
2023-08-15	0.10674474	0.09086840	0.31179799	-0.05463974	0.45071685	0.52786401	-0.02652371	-0.03008564	-0.14445659
2023-08-16	0.10917891	0.12026730	0.33632969	-0.05013481	0.41967251	0.47586813	-0.03787687	-0.01237676	-0.14699937
2023-08-17	0.10537109	0.11964719	0.33507799	-0.04413288	0.42026365	0.46988602	-0.03952045	-0.02144596	-0.14301702
2023-08-18	0.10616225	0.12155495	0.33574892	-0.04517989	0.41947114	0.47079497	-0.04013661	-0.02266433	-0.14401058
2023-08-21	0.10798289	0.11967536	0.32680387	-0.04466648	0.42687309	0.45338519	-0.04295917	-0.00295916	-0.14147530
2023-08-22	0.11132964	0.12308814	0.34377730	-0.07948964	0.42320191	0.44434357	-0.04180386	0.01830302	-0.14684993
