Date	AIF_raw	AIF_orth	Mkt-RF	SMB	HML	RMW	CMA	MOM	RF	XLK_orth	XLI_orth	XLP_orth
2023-01-04	0.00586569	0.00700412	0.00810000	0.00570000	0.00050000	-0.00690000	0.00000000	-0.02110000	0.00020000	-0.00430682	0.00227488	-0.00086093
2023-01-05	-0.00432583	0.00227481	-0.01140000	0.00170000	0.01200000	0.00810000	0.00900000	0.01270000	0.00020000	-0.00165744	-0.00655817	-0.01013718
2023-01-06	0.00926983	-0.00085200	0.02210000	-0.00010000	0.00030000	0.00820000	0.00180000	-0.00180000	0.00020000	0.00263397	0.00645245	0.01477348
2023-01-09	0.01249302	0.00731525	0.00030000	0.00330000	-0.01230000	-0.00650000	-0.01150000	-0.02100000	0.00020000	0.01044599	0.00125681	-0.00638981
2023-01-10	-0.00833594	-0.01340609	0.00790000	0.00870000	-0.00560000	-0.00400000	-0.00490000	-0.01020000	0.00020000	-0.00308445	-0.00065428	-0.00245936
2023-01-11	-0.00543860	-0.01021635	0.01250000	0.00010000	-0.00830000	-0.00190000	-0.01070000	-0.01800000	0.00020000	0.00142498	0.00335846	-0.00238829
2023-01-12	0.01810413	0.00790662	0.00450000	0.01400000	-0.00270000	-0.01100000	-0.00520000	-0.00580000	0.00020000	0.00227612	0.00096153	-0.00495630
2023-01-13	-0.00104285	-0.00389708	0.00460000	0.00240000	-0.00300000	-0.00140000	-0.00290000	-0.00240000	0.00020000	-0.00367132	-0.00471161	0.00415782
2023-01-17	0.00878028	0.00528615	-0.00180000	-0.00010000	-0.00550000	-0.00610000	-0.00430000	-0.00720000	0.00020000	0.00480499	-0.00420786	0.00364973
2023-01-18	-0.00684587	-0.00294446	-0.01550000	0.00020000	-0.00710000	0.00270000	0.00010000	-0.00310000	0.00020000	0.00568543	-0.00313293	-0.02204097
2023-01-19	-0.02680370	-0.02202699	-0.00860000	-0.00100000	0.00840000	0.00540000	0.00700000	0.00640000	0.00020000	0.00137117	-0.01649663	-0.01007421
2023-01-20	0.00228811	-0.00464607	0.01940000	-0.00040000	-0.00680000	-0.00170000	-0.00800000	-0.02230000	0.00020000	0.00343269	0.00113272	0.00026486
2023-01-23	0.02914732	0.02233230	0.01280000	-0.00040000	-0.00990000	-0.00410000	-0.01030000	-0.02160000	0.00020000	0.00604113	0.00521899	0.00009399
2023-01-24	-0.00266139	-0.00645914	-0.00160000	-0.00160000	0.00180000	-0.00200000	0.00380000	0.01180000	0.00020000	-0.00127324	0.00601139	0.00543694
2023-01-25	-0.00243011	-0.00198834	0.00000000	0.00130000	0.00690000	0.00060000	0.00210000	0.00100000	0.00020000	-0.00004262	-0.00801148	0.00093209
2023-01-26	-0.00849694	-0.01072721	0.01080000	-0.00630000	0.00010000	-0.00200000	-0.00470000	-0.01270000	0.00020000	0.00239087	-0.00116371	-0.00820222
2023-01-27	-0.00209979	-0.00204513	0.00340000	0.00330000	-0.01130000	-0.00600000	-0.01280000	-0.02530000	0.00020000	0.00028323	0.00747209	-0.00118622
2023-01-30	-0.00686494	-0.00218039	-0.01380000	0.00030000	0.00740000	0.00350000	0.00930000	0.01390000	0.00020000	-0.00126844	-0.00210373	0.00377119
2023-01-31	0.00578136	-0.00166418	0.01580000	0.00930000	-0.00060000	-0.00110000	-0.00540000	-0.00790000	0.00020000	-0.00355675	0.00215104	0.00598490
2023-02-01	0.03199416	0.02328481	0.01190000	0.00630000	-0.01650000	-0.00120000	-0.01140000	-0.02590000	0.00020000	0.00881517	0.00290785	0.00518618
2023-02-02	0.00836092	0.00123415	0.01540000	0.01150000	-0.02070000	-0.00240000	-0.01750000	-0.04660000	0.00020000	0.01165889	0.00320761	-0.01306122
2023-02-03	-0.01430698	-0.01430495	-0.01080000	0.00400000	0.00980000	0.01010000	0.01050000	0.01560000	0.00020000	0.00832998	-0.00219181	-0.00448745
2023-02-06	-0.00758451	-0.00337107	-0.00730000	-0.00800000	0.00430000	-0.00220000	0.00450000	0.01000000	0.00020000	-0.00600951	0.00311839	0.00365810
2023-02-07	0.00213191	-0.00485506	0.01250000	-0.00500000	-0.00040000	0.00300000	-0.00360000	-0.00810000	0.00020000	0.00955709	-0.00609426	-0.01036457
2023-02-08	0.00895309	0.01262354	-0.01180000	-0.00690000	0.00710000	-0.00280000	-0.00040000	0.00920000	0.00020000	0.00120098	0.00412459	-0.00191095
2023-02-09	0.00437847	0.00509750	-0.00940000	-0.00610000	0.00210000	0.00310000	0.00380000	0.01110000	0.00020000	0.00409088	-0.00162975	-0.00181904
2023-02-10	-0.01642725	-0.01695525	0.00120000	-0.00300000	0.01500000	0.00540000	0.00910000	0.02290000	0.00020000	-0.00570114	-0.00085199	0.00614920
2023-02-13	0.00221694	-0.00483074	0.01140000	0.00090000	-0.00730000	0.00490000	-0.00310000	-0.00470000	0.00020000	0.00214951	0.00061818	0.00653417
2023-02-14	0.04107695	0.03850322	0.00120000	-0.00050000	-0.00680000	-0.00610000	-0.00940000	-0.00970000	0.00020000	0.00075809	0.00028231	-0.00575539
2023-02-15	0.00226335	-0.00240882	0.00500000	0.00720000	-0.00910000	-0.01200000	-0.01060000	-0.01690000	0.00020000	-0.00269053	0.00573627	0.00520584
2023-02-16	0.00091561	0.00533355	-0.01370000	0.00220000	0.00970000	0.00810000	0.00910000	0.01440000	0.00020000	0.00242733	-0.00382506	-0.00592158
2023-02-17	-0.00967410	-0.00847369	-0.00280000	0.00660000	-0.00140000	0.00150000	0.00560000	0.00500000	0.00020000	-0.00896758	0.00628012	0.01275635
2023-02-21	-0.01407088	-0.00407648	-0.02160000	-0.01130000	0.00880000	0.00380000	0.00820000	0.01510000	0.00020000	0.00188291	-0.00584724	0.00149266
