ticker,company,cik,form,filingDate,reportDate,accessionNumber,primaryDocument,doc_url
ADBE,ADOBE INC.,0000796343,8-K,2026-09-10,2026-09-10,0000796343-26-000147,adbe-20260910.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634326000147/adbe-20260910.htm
ADBE,ADOBE INC.,0000796343,8-K,2026-09-08,2026-09-02,0000796343-26-000144,adbe-20260902.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634326000144/adbe-20260902.htm
ADBE,ADOBE INC.,0000796343,8-K,2026-07-17,2026-07-14,0000796343-26-000120,adbe-20260714.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634326000120/adbe-20260714.htm
ADBE,ADOBE INC.,0000796343,10-Q,2026-06-15,2026-05-29,0000796343-26-000112,adbe-20260529.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634326000112/adbe-20260529.htm
ADBE,ADOBE INC.,0000796343,8-K,2026-06-11,2026-06-08,0000796343-26-000109,adbe-20260608.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634326000109/adbe-20260608.htm
ADBE,ADOBE INC.,0000796343,8-K,2026-04-21,2026-04-15,0000796343-26-000101,adbe-20260415.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634326000101/adbe-20260415.htm
ADBE,ADOBE INC.,0000796343,10-Q,2026-03-25,2026-02-27,0000796343-26-000056,adbe-20260227.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634326000056/adbe-20260227.htm
ADBE,ADOBE INC.,0000796343,8-K,2026-03-12,2026-03-09,0000796343-26-000048,adbe-20260309.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634326000048/adbe-20260309.htm
ADBE,ADOBE INC.,0000796343,8-K,2026-01-27,2026-01-26,0000796343-26-000019,adbe-20260126.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634326000019/adbe-20260126.htm
ADBE,ADOBE INC.,0000796343,10-K,2026-01-15,2025-11-28,0000796343-26-000003,adbe-20251128.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634326000003/adbe-20251128.htm
ADBE,ADOBE INC.,0000796343,8-K,2025-12-10,2025-12-10,0000796343-25-000135,adbe-20251210.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634325000135/adbe-20251210.htm
ADBE,ADOBE INC.,0000796343,10-Q,2025-09-24,2025-08-29,0000796343-25-000107,adbe-20250829.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634325000107/adbe-20250829.htm
ADBE,ADOBE INC.,0000796343,8-K,2025-09-11,2025-09-11,0000796343-25-000102,adbe-20250911.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634325000102/adbe-20250911.htm
ADBE,ADOBE INC.,0000796343,10-Q,2025-06-25,2025-05-30,0000796343-25-000073,adbe-20250530.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634325000073/adbe-20250530.htm
ADBE,ADOBE INC.,0000796343,8-K,2025-06-12,2025-06-12,0000796343-25-000064,adbe-20250612.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634325000064/adbe-20250612.htm
ADBE,ADOBE INC.,0000796343,8-K,2025-04-24,2025-04-22,0001628280-25-019665,adbe-20250422.htm,https://www.sec.gov/Archives/edgar/data/796343/000162828025019665/adbe-20250422.htm
ADBE,ADOBE INC.,0000796343,10-Q,2025-03-26,2025-02-28,0000796343-25-000059,adbe-20250228.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634325000059/adbe-20250228.htm
ADBE,ADOBE INC.,0000796343,8-K,2025-03-12,2025-03-12,0000796343-25-000052,adbe-20250312.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634325000052/adbe-20250312.htm
ADBE,ADOBE INC.,0000796343,8-K,2025-01-30,2025-01-24,0000796343-25-000036,adbe-20250124.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634325000036/adbe-20250124.htm
ADBE,ADOBE INC.,0000796343,8-K,2025-01-17,2025-01-14,0001193125-25-008409,d856773d8k.htm,https://www.sec.gov/Archives/edgar/data/796343/000119312525008409/d856773d8k.htm
ADBE,ADOBE INC.,0000796343,10-K,2025-01-13,2024-11-29,0000796343-25-000004,adbe-20241129.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634325000004/adbe-20241129.htm
ADBE,ADOBE INC.,0000796343,8-K,2024-12-11,2024-12-11,0000796343-24-000250,adbe-20241211.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634324000250/adbe-20241211.htm
ADBE,ADOBE INC.,0000796343,10-Q,2024-09-25,2024-08-30,0000796343-24-000208,adbe-20240830.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634324000208/adbe-20240830.htm
ADBE,ADOBE INC.,0000796343,8-K,2024-09-12,2024-09-12,0000796343-24-000200,adbe-20240912.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634324000200/adbe-20240912.htm
ADBE,ADOBE INC.,0000796343,8-K,2024-08-08,2024-08-05,0000796343-24-000192,adbe-20240805.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634324000192/adbe-20240805.htm
ADBE,ADOBE INC.,0000796343,8-K,2024-07-18,2024-07-12,0000796343-24-000173,adbe-20240712.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634324000173/adbe-20240712.htm
ADBE,ADOBE INC.,0000796343,10-Q,2024-06-26,2024-05-31,0000796343-24-000150,adbe-20240531.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634324000150/adbe-20240531.htm
ADBE,ADOBE INC.,0000796343,8-K,2024-06-13,2024-06-13,0000796343-24-000140,adbe-20240613.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634324000140/adbe-20240613.htm
ADBE,ADOBE INC.,0000796343,8-K,2024-04-19,2024-04-17,0000796343-24-000086,adbe-20240417.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634324000086/adbe-20240417.htm
ADBE,ADOBE INC.,0000796343,8-K,2024-04-04,2024-04-01,0001193125-24-087244,d771427d8k.htm,https://www.sec.gov/Archives/edgar/data/796343/000119312524087244/d771427d8k.htm
ADBE,ADOBE INC.,0000796343,10-Q,2024-03-27,2024-03-01,0000796343-24-000065,adbe-20240301.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634324000065/adbe-20240301.htm
ADBE,ADOBE INC.,0000796343,8-K,2024-03-14,2024-03-14,0000796343-24-000057,adbe-20240314.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634324000057/adbe-20240314.htm
ADBE,ADOBE INC.,0000796343,8-K,2024-01-26,2024-01-24,0000796343-24-000024,adbe-20240124.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634324000024/adbe-20240124.htm
ADBE,ADOBE INC.,0000796343,10-K,2024-01-17,2023-12-01,0000796343-24-000006,adbe-20231201.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634324000006/adbe-20231201.htm
ADBE,ADOBE INC.,0000796343,8-K,2023-12-18,2023-12-17,0000796343-23-000254,adbe-20231217.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/adbe-20231217.htm
ADBE,ADOBE INC.,0000796343,8-K,2023-12-13,2023-12-11,0000796343-23-000252,adbe-20231211.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634323000252/adbe-20231211.htm
ADBE,ADOBE INC.,0000796343,8-K,2023-10-26,2023-10-25,0000796343-23-000226,adbe-20231025.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634323000226/adbe-20231025.htm
ADBE,ADOBE INC.,0000796343,10-Q,2023-09-27,2023-09-01,0000796343-23-000205,adbe-20230901.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634323000205/adbe-20230901.htm
ADBE,ADOBE INC.,0000796343,8-K,2023-09-14,2023-09-08,0000796343-23-000198,adbe-20230908.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634323000198/adbe-20230908.htm
ADBE,ADOBE INC.,0000796343,10-Q,2023-06-28,2023-06-02,0000796343-23-000153,adbe-20230602.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634323000153/adbe-20230602.htm
ADBE,ADOBE INC.,0000796343,8-K,2023-06-15,2023-06-15,0000796343-23-000133,adbe-20230615.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634323000133/adbe-20230615.htm
ADBE,ADOBE INC.,0000796343,8-K,2023-04-24,2023-04-20,0000796343-23-000084,adbe-20230420.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634323000084/adbe-20230420.htm
ADBE,ADOBE INC.,0000796343,10-Q,2023-03-29,2023-03-03,0000796343-23-000055,adbe-20230303.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634323000055/adbe-20230303.htm
ADBE,ADOBE INC.,0000796343,8-K,2023-03-15,2023-03-15,0000796343-23-000044,adbe-20230315.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634323000044/adbe-20230315.htm
ADBE,ADOBE INC.,0000796343,8-K,2023-01-26,2023-01-24,0000796343-23-000011,adbe-20230124.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634323000011/adbe-20230124.htm
ADBE,ADOBE INC.,0000796343,8-K,2023-01-19,2023-01-19,0001193125-23-010953,d400939d8k.htm,https://www.sec.gov/Archives/edgar/data/796343/000119312523010953/d400939d8k.htm
ADBE,ADOBE INC.,0000796343,10-K,2023-01-17,2022-12-02,0000796343-23-000007,adbe-20221202.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634323000007/adbe-20221202.htm
CAT,CATERPILLAR INC,0000018230,8-K,2026-09-01,2026-08-27,0001104659-26-104197,tm2624321d1_8k.htm,https://www.sec.gov/Archives/edgar/data/18230/000110465926104197/tm2624321d1_8k.htm
CAT,CATERPILLAR INC,0000018230,10-Q,2026-08-05,2026-06-30,0000018230-26-000046,cat-20260630.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823026000046/cat-20260630.htm
CAT,CATERPILLAR INC,0000018230,8-K,2026-08-04,2026-08-04,0000018230-26-000040,cat-20260804.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823026000040/cat-20260804.htm
CAT,CATERPILLAR INC,0000018230,8-K,2026-06-11,2026-06-10,0001104659-26-072929,tm2617177d1_8k.htm,https://www.sec.gov/Archives/edgar/data/18230/000110465926072929/tm2617177d1_8k.htm
CAT,CATERPILLAR INC,0000018230,10-Q,2026-05-06,2026-03-31,0000018230-26-000021,cat-20260331.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823026000021/cat-20260331.htm
CAT,CATERPILLAR INC,0000018230,8-K,2026-04-30,2026-04-30,0000018230-26-000017,cat-20260430.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823026000017/cat-20260430.htm
CAT,CATERPILLAR INC,0000018230,8-K,2026-04-13,2026-04-07,0001104659-26-042621,tm2611571d2_8k.htm,https://www.sec.gov/Archives/edgar/data/18230/000110465926042621/tm2611571d2_8k.htm
CAT,CATERPILLAR INC,0000018230,8-K,2026-04-10,2026-04-07,0001104659-26-042062,tm2611571d1_8k.htm,https://www.sec.gov/Archives/edgar/data/18230/000110465926042062/tm2611571d1_8k.htm
CAT,CATERPILLAR INC,0000018230,8-K,2026-03-26,2026-03-26,0000018230-26-000013,cat-20260326.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823026000013/cat-20260326.htm
CAT,CATERPILLAR INC,0000018230,10-K,2026-02-13,2025-12-31,0000018230-26-000008,cat-20251231.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823026000008/cat-20251231.htm
CAT,CATERPILLAR INC,0000018230,8-K,2026-01-29,2026-01-29,0000018230-26-000003,cat-20260129.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823026000003/cat-20260129.htm
CAT,CATERPILLAR INC,0000018230,8-K,2026-01-06,2026-01-06,0001104659-26-001346,tm261912d1_8k.htm,https://www.sec.gov/Archives/edgar/data/18230/000110465926001346/tm261912d1_8k.htm
CAT,CATERPILLAR INC,0000018230,10-Q,2025-11-03,2025-09-30,0000018230-25-000048,cat-20250930.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823025000048/cat-20250930.htm
CAT,CATERPILLAR INC,0000018230,8-K,2025-10-29,2025-10-29,0000018230-25-000043,cat-20251029.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823025000043/cat-20251029.htm
CAT,CATERPILLAR INC,0000018230,8-K,2025-09-03,2025-08-28,0001104659-25-087011,tm2524597d2_8k.htm,https://www.sec.gov/Archives/edgar/data/18230/000110465925087011/tm2524597d2_8k.htm
CAT,CATERPILLAR INC,0000018230,8-K,2025-08-28,2025-08-28,0001104659-25-084800,tm2524597d1_8k.htm,https://www.sec.gov/Archives/edgar/data/18230/000110465925084800/tm2524597d1_8k.htm
